"Transaction","From","To","Crypto","USD","Txn","ID","Sex","Type","Skin","Slots","Rank"
"Sold","0x5aaeb9","Pranksy",2.29,792,2020-09-24,8508,"Guy","Male","Light",3,"6848226000%"
"Sold","redlione…","0x5aaeb9",2.19,757,2020-09-24,8508,"Guy","Male","Light",3,"6848226000%"
"Sold","0x9ce03d","redlione…",2.1,725,2020-09-24,8508,"Guy","Male","Light",3,"6848226000%"
"Sold","0xe754d1","0x9ce03d",2,678,2020-09-23,8508,"Guy","Male","Light",3,"6848226000%"
"Sold","OnlyToas…","0xe754d1",1.6,610,2020-09-17,8508,"Guy","Male","Light",3,"6848226000%"
"Sold","natealex","OnlyToas…",1.85,671,2020-09-16,8508,"Guy","Male","Light",3,"6848226000%"
"Sold","Hemba","natealex",1.2,437,2020-09-11,8508,"Guy","Male","Light",3,"6848226000%"
"Claimed",NA,"Hemba",NA,NA,2017-06-23,8508,"Guy","Male","Light",3,"6848226000%"
"Sold","0xe96c3e","0xc352b5",0.85,192,2020-02-08,8509,"Girl","Female","Mid",3,"1749760000%"
"Sold","0xc24f57","el",0.22,60,2018-08-26,8509,"Girl","Female","Mid",3,"1749760000%"
"Claimed",NA,"0xc24f57",NA,NA,2017-06-23,8509,"Girl","Female","Mid",3,"1749760000%"
"Claimed",NA,"48543",NA,NA,2017-06-23,8510,"Guy","Male","Albino",3,"6506016000%"
"Sold","j1mmy","VonMises",2.75,520,2020-04-23,8511,"Girl","Female","Light",2,"0.499200000%"
"Sold","0x470e9b","j1mmy",1.4,246,2019-04-07,8511,"Girl","Female","Light",2,"0.499200000%"
"Claimed",NA,"0x470e9b",NA,NA,2017-06-23,8511,"Girl","Female","Light",2,"0.499200000%"
"Sold","Pranksy","0xcf6165",4.49,2886,2020-12-26,8512,"Girl","Female","Dark",3,"2163200000%"
"Sold","Alex3422","kyloren",5.7,2012,2020-09-29,8512,"Girl","Female","Dark",3,"2163200000%"
"Sold","Carlini8","Alex3422",5.25,1906,2020-09-28,8512,"Girl","Female","Dark",3,"2163200000%"
"Sold","Pranksy","Carlini8",4.99,1812,2020-09-28,8512,"Girl","Female","Dark",3,"2163200000%"
